Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17
Los Lagos,10,Puyehue,10304,11787,0,0,0,0,1,0,0,0,0,0
Los Lagos,10,Queilen,10207,5543,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Quellon,10208,29309,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Quemchi,10209,8783,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Quinchao,10210,8298,0,0,0,0,0,1,0,0,0,0
Los Lagos,10,Rio Negro,10305,14275,0,0,0,0,0,1,3,0,0,1
Los Lagos,10,San Juan de la Costa,10306,7639,0,0,0,0,0,2,10,2,4,4
Los Lagos,10,San Pablo,10307,10553,0,0,0,0,0,2,4,0,2,0
Los Lagos,10,Total,,891440,0,0,1,14,89,142,110,53,35,9
,,,,,,,,,,,,,,
Aysen,11,Aysen,11201,25002,0,0,0,1,0,0,0,0,0,0
Aysen,11,Chile Chico,11401,5121,0,0,0,0,0,0,1,0,0,0
Aysen,11,Cisnes,11202,5828,0,0,0,0,0,0,0,0,0,0
Aysen,11,Cochrane,11301,3685,0,0,0,0,0,0,0,0,0,0
Aysen,11,Coyhaique,,61210,0,0,0,2,0,0,1,0,0,0
Aysen,11,Guaitecas,11203,1599,0,0,0,0,0,0,0,0,0,0
Aysen,11,Lago Verde,11102,920,0,0,0,0,0,0,0,0,0,0
Aysen,11,OHiggins,,661,0,0,0,0,0,0,0,0,0,0
Aysen,11,Rio Ibanez,11402,2699,0,0,0,0,0,0,0,0,0,0
Aysen,11,Tortel,11303,572,0,0,0,0,0,0,0,0,0,0
Aysen,11,Total,,107297,0,0,0,3,0,0,2,0,0,0
,,,,,,,,,,,,,,
Magallanes y la Antartica,12,Antartica,12202,137,0,0,0,0,0,0,0,0,0,0
Magallanes y la Antartica,12,Cabo de Hornos,12201,1983,0,0,0,0,8,7,1,1,0,0
Magallanes y la Antartica,12,Laguna Blanca,12102,264,0,0,0,0,0,0,0,0,0,0
Magallanes y la Antartica,12,Natales,12401,23782,0,0,0,1,3,1,0,2,0,0
Magallanes y la Antartica,12,Porvenir,12301,7323,0,0,0,0,0,3,1,2,2,0
Magallanes y la Antartica,12,Primavera,12302,694,0,0,0,0,0,0,0,1,0,0
Magallanes y la Antartica,12,Punta Arenas,12101,141984,0,2,1,5,62,121,145,140,100,5
Magallanes y la Antartica,12,Rio Verde,12103,211,0,0,0,0,0,0,0,0,0,0
Magallanes y la Antartica,12,San Gregorio,12104,681,0,0,0,0,0,0,0,0,0,0
Magallanes y la Antartica,12,Timaukel,12303,282,0,0,0,0,0,0,0,0,0,0
Magallanes y la Antartica,12,Torres del Paine,12402,1021,0,0,0,0,0,0,0,0,0,0
Magallanes y la Antartica,,Total,,178362,0,2,1,6,73,132,147,146,102,6
