Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,2020-04-27,2020-05-01,2020-05-04,2020-05-08,2020-05-11,2020-05-15,2020-05-18,2020-05-22
La Araucania,09,Renaico,09209,10833,1,1,0,1,2,2,0,1,6,6,4,3,5
La Araucania,09,Saavedra,09116,12793,0,0,1,6,11,6,13,17,15,18,22,23,22
La Araucania,09,Temuco,09101,302931,150,119,106,113,83,59,38,29,35,48,58,74,60
La Araucania,09,Teodoro Schmidt,09117,15786,1,1,1,0,1,1,0,0,0,0,0,0,2
La Araucania,09,Tolten,09118,10055,3,1,0,0,0,0,0,0,0,0,0,0,0
La Araucania,09,Traiguen,09210,19314,2,1,1,1,1,1,0,0,0,0,1,3,5
La Araucania,09,Victoria,09211,35467,6,1,1,15,39,40,35,25,15,6,4,2,2
La Araucania,09,Vilcun,09119,30766,10,8,6,8,4,2,4,3,6,3,8,10,9
La Araucania,09,Villarrica,09120,59103,5,5,3,1,0,0,1,1,1,2,1,2,1
La Araucania,09,Total,,1014343,301,223,213,238,231,209,173,135,126,139,181,207,225
,,,,,,,,,,,,,,,,,
Los Rios,14,Corral,14102,5447,0,1,1,1,1,0,0,0,1,2,10,9,8
Los Rios,14,Futrono,14202,15261,1,0,0,0,0,0,0,0,0,0,0,2,10
Los Rios,14,La Union,14201,39538,9,6,6,6,5,7,5,6,3,2,1,2,2
Los Rios,14,Lago Ranco,14203,10292,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Rios,14,Lanco,14103,17652,1,2,2,1,1,1,1,1,3,2,2,0,0
Los Rios,14,Los Lagos,14104,20518,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Rios,14,Mafil,14105,7389,0,0,0,0,1,1,0,0,0,0,0,0,1
Los Rios,14,Mariquina,14106,23250,6,3,1,0,0,0,0,0,0,2,3,3,4
Los Rios,14,Paillaco,14107,20798,0,0,0,0,0,0,0,0,0,0,0,0,3
Los Rios,14,Panguipulli,14108,35991,1,0,0,1,0,0,0,0,0,0,0,0,2
Los Rios,14,Rio Bueno,14204,32925,4,1,1,1,1,2,4,3,1,1,0,0,1
Los Rios,14,Valdivia,14101,176774,25,21,18,15,8,5,5,10,7,3,2,3,24
Los Rios,14,Total,,405835,47,34,29,25,17,16,15,20,15,12,18,19,55
,,,,,,,,,,,,,,,,,
Los Lagos,10,Ancud,10202,42458,3,3,3,8,5,4,2,6,13,37,34,34,41
Los Lagos,10,Calbuco,10102,36744,2,0,1,1,1,1,0,0,0,1,1,1,1
Los Lagos,10,Castro,10201,47607,5,4,3,0,0,0,1,0,0,0,1,1,1
Los Lagos,10,Chaiten,10401,5020,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Chonchi,10203,16013,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Cochamo,10103,4006,0,0,1,1,0,0,0,0,0,0,0,0,0
Los Lagos,10,Curaco de Velez,10204,4066,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Dalcahue,10205,15069,0,0,0,0,0,0,0,0,0,0,0,0,1
Los Lagos,10,Fresia,10104,12656,0,0,0,1,0,0,0,0,0,0,0,0,0
Los Lagos,10,Frutillar,10105,20223,4,4,2,2,0,0,0,0,0,0,1,1,0
Los Lagos,10,Futaleufu,10402,2806,0,0,0,0,0,0,0,0,0,0,0,0,1
Los Lagos,10,Hualaihue,10403,9525,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Llanquihue,10107,18621,1,0,1,0,0,0,0,0,0,5,5,5,3
Los Lagos,10,Los Muermos,10106,17817,0,0,0,0,0,0,0,0,0,1,1,1,0
Los Lagos,10,Maullin,10108,14894,1,1,2,1,0,0,0,0,0,0,0,2,13
Los Lagos,10,Osorno,10301,173410,63,44,39,34,27,24,23,25,22,24,26,19,18
Los Lagos,10,Palena,10404,1827,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Puerto Montt,10101,269398,11,10,7,8,5,4,1,0,0,2,9,10,32
Los Lagos,10,Puerto Octay,10302,9192,0,0,0,0,1,3,3,0,2,2,2,2,0
Los Lagos,10,Puerto Varas,10109,48620,4,3,4,2,0,0,0,0,0,0,0,1,3
Los Lagos,10,Puqueldon,10206,4201,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Purranque,10303,21080,13,8,5,2,1,1,2,2,5,4,6,4,5
Los Lagos,10,Puyehue,10304,11787,1,0,0,0,0,1,2,1,2,2,2,0,0
Los Lagos,10,Queilen,10207,5543,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Quellon,10208,29309,0,0,0,0,0,0,0,1,1,1,1,0,0
Los Lagos,10,Quemchi,10209,8783,0,0,0,0,0,0,0,0,0,0,0,0,4
Los Lagos,10,Quinchao,10210,8298,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Rio Negro,10305,14275,2,2,1,0,1,1,6,6,5,4,9,8,6
Los Lagos,10,San Juan de la Costa,10306,7639,13,5,4,3,8,9,8,8,3,7,7,7,4
Los Lagos,10,San Pablo,10307,10553,4,4,1,2,2,2,0,1,0,0,0,1,1
Los Lagos,10,Total,,891440,127,88,74,65,51,50,48,50,53,90,105,97,134
,,,,,,,,,,,,,,,,,
Aysen,11,Aysen,11201,25002,1,0,0,0,0,0,0,0,0,0,0,0,0
Aysen,11,Chile Chico,11401,5121,1,0,0,0,0,0,0,0,0,0,0,0,0
Aysen,11,Cisnes,11202,5828,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysen,11,Cochrane,11301,3685,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysen,11,Coyhaique,11101,61210,0,0,0,0,0,0,0,0,1,1,1,1,0
Aysen,11,Guaitecas,11203,1599,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysen,11,Lago Verde,11102,920,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysen,11,OHiggins,11302,661,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysen,11,Rio Ibanez,11402,2699,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysen,11,Tortel,11303,572,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysen,11,Total,,107297,2,0,0,0,0,0,0,0,1,1,1,1,0
,,,,,,,,,,,,,,,,,
Magallanes y la Antartica,12,Antartica,12202,137,0,0,0,0,0,0,0,0,0,0,0,0,0
Magallanes y la Antartica,12,Cabo de Hornos,12201,1983,3,1,1,1,0,0,0,0,0,1,1,1,0
Magallanes y la Antartica,12,Laguna Blanca,12102,264,0,0,0,0,0,0,0,0,0,0,0,0,0
Magallanes y la Antartica,12,Natales,12401,23782,1,0,1,1,0,0,0,0,1,1,0,1,2
Magallanes y la Antartica,12,Porvenir,12301,7323,1,0,1,4,2,2,0,0,1,1,1,1,0
Magallanes y la Antartica,12,Primavera,12302,694,0,0,1,1,1,0,0,0,0,0,0,0,0
Magallanes y la Antartica,12,Punta Arenas,12101,141984,207,179,173,181,147,126,96,116,146,136,107,96,64
Magallanes y la Antartica,12,Rio Verde,12103,211,0,0,0,0,0,0,0,0,0,0,0,0,0
Magallanes y la Antartica,12,San Gregorio,12104,681,0,0,0,0,0,0,0,0,1,1,2,1,2
Magallanes y la Antartica,12,Timaukel,12303,282,0,0,0,0,0,0,0,0,0,0,0,0,0
Magallanes y la Antartica,12,Torres del Paine,12402,1021,0,0,0,0,0,0,0,0,0,0,0,0,0
Magallanes y la Antartica,,Total,,178362,212,180,177,188,151,128,96,116,149,140,111,100,68
